id,user_id,amount,transaction_type,reference_id,reference_type,status,remark,created_at,updated_at
4595951,52338,15.0,1,4283747,cash_point,1,Successful ZRQMMBL##ACM001BRN2PC#90 QR scan,2026-01-01T03:04:16,2026-01-01T03:04:16
4595952,48164,5.0,1,4283748,cash_point,1,Successful ZRQMMBL##ACM001BRN2PC#90 QR scan,2026-01-01T03:04:16,2026-01-01T03:04:16
4595953,55481,20.0,1,4283749,cash_point,1,Successful XFSBSWF##AMC053BBRIF1AST#90 QR scan,2026-01-01T03:05:23,2026-01-01T03:05:23
4595954,47879,5.0,1,4283750,cash_point,1,Successful XFSBSWF##AMC053BBRIF1AST#90 QR scan,2026-01-01T03:05:23,2026-01-01T03:05:23
4595955,55481,20.0,1,4283751,cash_point,1,Successful ETXIPFV##AMC053BBRIF1AST#95 QR scan,2026-01-01T03:05:43,2026-01-01T03:05:43
4595956,47879,5.0,1,4283752,cash_point,1,Successful ETXIPFV##AMC053BBRIF1AST#95 QR scan,2026-01-01T03:05:43,2026-01-01T03:05:43
4595957,55481,20.0,1,4283753,cash_point,1,Successful 55BT8JA QR scan,2026-01-01T03:06:31,2026-01-01T03:06:31
4595958,47879,5.0,1,4283754,cash_point,1,Successful 55BT8JA QR scan,2026-01-01T03:06:31,2026-01-01T03:06:31
4595959,55481,20.0,1,4283755,cash_point,1,Successful E25GYA3 QR scan,2026-01-01T03:06:46,2026-01-01T03:06:46
4595960,47879,5.0,1,4283756,cash_point,1,Successful E25GYA3 QR scan,2026-01-01T03:06:46,2026-01-01T03:06:46
4595961,55481,20.0,1,4283757,cash_point,1,Successful CQTQDFN##AMC061BBRIF1AST#85 QR scan,2026-01-01T03:07:44,2026-01-01T03:07:44
4595962,47879,5.0,1,4283758,cash_point,1,Successful CQTQDFN##AMC061BBRIF1AST#85 QR scan,2026-01-01T03:07:44,2026-01-01T03:07:44
4595963,55481,20.0,1,4283759,cash_point,1,Successful 8K9A4RX QR scan,2026-01-01T03:08:04,2026-01-01T03:08:04
4595964,47879,5.0,1,4283760,cash_point,1,Successful 8K9A4RX QR scan,2026-01-01T03:08:04,2026-01-01T03:08:04
4595965,55481,-460.0,0,31863,withdrawal,1,Cash Withdrawal,2026-01-01T03:10:04,2026-01-01T03:10:04
4595966,68578,20.0,1,4283761,cash_point,1,Successful JRBEBGA##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:09,2026-01-01T03:10:09
4595967,48167,5.0,1,4283762,cash_point,1,Successful JRBEBGA##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:09,2026-01-01T03:10:09
4595968,68578,20.0,1,4283763,cash_point,1,Successful GZZWXMX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:09,2026-01-01T03:10:09
4595969,48167,5.0,1,4283764,cash_point,1,Successful GZZWXMX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:09,2026-01-01T03:10:09
4595970,68578,20.0,1,4283765,cash_point,1,Successful WJFGQOR##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:10,2026-01-01T03:10:10
4595971,48167,5.0,1,4283766,cash_point,1,Successful WJFGQOR##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:10,2026-01-01T03:10:10
4595972,68578,20.0,1,4283767,cash_point,1,Successful PVUKYGT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:10,2026-01-01T03:10:10
4595973,48167,5.0,1,4283768,cash_point,1,Successful PVUKYGT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:10,2026-01-01T03:10:10
4595974,68578,20.0,1,4283769,cash_point,1,Successful HPPCEYA##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:11,2026-01-01T03:10:11
4595975,48167,5.0,1,4283770,cash_point,1,Successful HPPCEYA##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:11,2026-01-01T03:10:11
4595976,68578,20.0,1,4283771,cash_point,1,Successful IJKRCFG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:11,2026-01-01T03:10:11
4595977,48167,5.0,1,4283772,cash_point,1,Successful IJKRCFG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:12,2026-01-01T03:10:12
4595978,68578,20.0,1,4283773,cash_point,1,Successful YIENHDT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:12,2026-01-01T03:10:12
4595979,48167,5.0,1,4283774,cash_point,1,Successful YIENHDT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:12,2026-01-01T03:10:12
4595980,68578,20.0,1,4283775,cash_point,1,Successful XMZLPAN##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:13,2026-01-01T03:10:13
4595981,48167,5.0,1,4283776,cash_point,1,Successful XMZLPAN##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:13,2026-01-01T03:10:13
4595982,68578,20.0,1,4283777,cash_point,1,Successful NGUZOMJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:13,2026-01-01T03:10:13
4595983,48167,5.0,1,4283778,cash_point,1,Successful NGUZOMJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:13,2026-01-01T03:10:13
4595984,68578,20.0,1,4283779,cash_point,1,Successful DBHIKWP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:14,2026-01-01T03:10:14
4595985,48167,5.0,1,4283780,cash_point,1,Successful DBHIKWP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:14,2026-01-01T03:10:14
4595986,68578,20.0,1,4283781,cash_point,1,Successful RMHYEQL##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:14,2026-01-01T03:10:14
4595987,48167,5.0,1,4283782,cash_point,1,Successful RMHYEQL##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:14,2026-01-01T03:10:14
4595988,68578,20.0,1,4283783,cash_point,1,Successful FVRXPEH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:15,2026-01-01T03:10:15
4595989,48167,5.0,1,4283784,cash_point,1,Successful FVRXPEH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:15,2026-01-01T03:10:15
4595990,68578,20.0,1,4283785,cash_point,1,Successful YRESOFT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:15,2026-01-01T03:10:15
4595991,48167,5.0,1,4283786,cash_point,1,Successful YRESOFT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:15,2026-01-01T03:10:15
4595992,68578,20.0,1,4283787,cash_point,1,Successful KXBBJIE##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:16,2026-01-01T03:10:16
4595993,48167,5.0,1,4283788,cash_point,1,Successful KXBBJIE##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:16,2026-01-01T03:10:16
4595994,68578,20.0,1,4283789,cash_point,1,Successful EBOWCAF##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:17,2026-01-01T03:10:17
4595995,48167,5.0,1,4283790,cash_point,1,Successful EBOWCAF##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:17,2026-01-01T03:10:17
